2016-01-23 23:22:55,201 : INFO : categ=yelp, ftype=GALC, index=6, rmse=0.1114130481, rho=0.1131699910, pval=0.0000000000, mse=0.0124128673, mae=0.0828856600, pre_logfit=-12.7337249911, base_logfit=-12.3231530152
2016-01-23 23:22:56,276 : INFO : categ=yelp, ftype=ConfAll, index=6, rmse=0.1088078927, rho=0.2396231187, pval=0.0000000000, mse=0.0118391575, mae=0.0812533021, pre_logfit=-12.7132154394, base_logfit=-12.3231530152
2016-01-23 23:23:56,775 : INFO : categ=yelp, ftype=LIWC, index=7, rmse=0.1061756255, rho=0.2389477672, pval=0.0000000000, mse=0.0112732634, mae=0.0797388045, pre_logfit=-12.6814051190, base_logfit=-12.3038074135
2016-01-23 23:26:11,767 : INFO : categ=yelp, ftype=INQUIRER, index=7, rmse=0.1062718536, rho=0.2466665341, pval=0.0000000000, mse=0.0112937069, mae=0.0796584671, pre_logfit=-12.6834337783, base_logfit=-12.3038074135
2016-01-23 23:27:01,791 : INFO : categ=yelp, ftype=GALC, index=7, rmse=0.1093095301, rho=0.0946380788, pval=0.0000000000, mse=0.0119485734, mae=0.0815586059, pre_logfit=-12.7054259872, base_logfit=-12.3038074135
2016-01-23 23:27:02,870 : INFO : categ=yelp, ftype=ConfAll, index=7, rmse=0.1067543796, rho=0.2213993524, pval=0.0000000000, mse=0.0113964976, mae=0.0800266670, pre_logfit=-12.6863234047, base_logfit=-12.3038074135
2016-01-23 23:28:03,089 : INFO : categ=yelp, ftype=LIWC, index=8, rmse=0.1052838938, rho=0.2431107326, pval=0.0000000000, mse=0.0110846983, mae=0.0788214881, pre_logfit=-12.7213915349, base_logfit=-12.3513498328
2016-01-23 23:30:17,407 : INFO : categ=yelp, ftype=INQUIRER, index=8, rmse=0.1053951046, rho=0.2544873245, pval=0.0000000000, mse=0.0111081281, mae=0.0785801835, pre_logfit=-12.7207016084, base_logfit=-12.3513498328
2016-01-23 23:31:07,130 : INFO : categ=yelp, ftype=GALC, index=8, rmse=0.1085486249, rho=0.1010191049, pval=0.0000000000, mse=0.0117828040, mae=0.0806003483, pre_logfit=-12.7437741706, base_logfit=-12.3513498328
2016-01-23 23:31:08,202 : INFO : categ=yelp, ftype=ConfAll, index=8, rmse=0.1059140991, rho=0.2292455423, pval=0.0000000000, mse=0.0112177964, mae=0.0789741806, pre_logfit=-12.7246330294, base_logfit=-12.3513498328
2016-01-23 23:32:05,034 : INFO : categ=yelp, ftype=LIWC, index=9, rmse=0.1076482161, rho=0.2533666997, pval=0.0000000000, mse=0.0115881384, mae=0.0809886609, pre_logfit=-12.5312778547, base_logfit=-12.1468031995
2016-01-23 23:34:18,203 : INFO : categ=yelp, ftype=INQUIRER, index=9, rmse=0.1076317722, rho=0.2609004444, pval=0.0000000000, mse=0.0115845984, mae=0.0807968076, pre_logfit=-12.5313842837, base_logfit=-12.1468031995
2016-01-23 23:35:08,076 : INFO : categ=yelp, ftype=GALC, index=9, rmse=0.1107658535, rho=0.1247100967, pval=0.0000000000, mse=0.0122690743, mae=0.0827192443, pre_logfit=-12.5549622716, base_logfit=-12.1468031995
2016-01-23 23:35:09,153 : INFO : categ=yelp, ftype=ConfAll, index=9, rmse=0.1082184737, rho=0.2415110498, pval=0.0000000000, mse=0.0117112380, mae=0.0813149837, pre_logfit=-12.5356176519, base_logfit=-12.1468031995
2016-01-23 23:36:09,781 : INFO : categ=yelp, ftype=LIWC, index=10, rmse=0.1067101998, rho=0.2354859661, pval=0.0000000000, mse=0.0113870667, mae=0.0803294937, pre_logfit=-12.7089864955, base_logfit=-12.3279463830
2016-01-23 23:38:23,576 : INFO : categ=yelp, ftype=INQUIRER, index=10, rmse=0.1066090203, rho=0.2517477247, pval=0.0000000000, mse=0.0113654832, mae=0.0800962588, pre_logfit=-12.7094177649, base_logfit=-12.3279463830
2016-01-23 23:39:13,997 : INFO : categ=yelp, ftype=GALC, index=10, rmse=0.1095068997, rho=0.1057014577, pval=0.0000000000, mse=0.0119917611, mae=0.0819348616, pre_logfit=-12.7283729022, base_logfit=-12.3279463830
