2016-01-10 06:58:43,037 : INFO : site=yelp, ftype=STR, index=40, rmse=0.11040, rho=0.08863, mse=0.01219, mae=0.08253
2016-01-10 06:59:28,918 : INFO : site=yelp, ftype=STR, index=41, rmse=0.11041, rho=0.10032, mse=0.01219, mae=0.08222
2016-01-10 07:00:14,798 : INFO : site=yelp, ftype=STR, index=42, rmse=0.10929, rho=0.09146, mse=0.01194, mae=0.08178
2016-01-10 07:01:00,844 : INFO : site=yelp, ftype=STR, index=43, rmse=0.10902, rho=0.09570, mse=0.01189, mae=0.08148
2016-01-10 07:01:46,927 : INFO : site=yelp, ftype=STR, index=44, rmse=0.10828, rho=0.09336, mse=0.01172, mae=0.08137
2016-01-10 07:02:32,220 : INFO : site=yelp, ftype=STR, index=45, rmse=0.11312, rho=0.09315, mse=0.01280, mae=0.08365
2016-01-10 07:03:18,506 : INFO : site=yelp, ftype=STR, index=46, rmse=0.10935, rho=0.09679, mse=0.01196, mae=0.08173
2016-01-10 07:04:04,437 : INFO : site=yelp, ftype=STR, index=47, rmse=0.10825, rho=0.07550, mse=0.01172, mae=0.08134
2016-01-10 07:04:50,282 : INFO : site=yelp, ftype=STR, index=48, rmse=0.11147, rho=0.10384, mse=0.01243, mae=0.08297
2016-01-10 07:05:36,089 : INFO : site=yelp, ftype=STR, index=49, rmse=0.11028, rho=0.07725, mse=0.01216, mae=0.08212
2016-01-10 07:06:22,881 : INFO : site=yelp, ftype=TOPICS_64, index=0, rmse=0.10737, rho=0.25719, mse=0.01153, mae=0.08032
2016-01-10 07:07:09,892 : INFO : site=yelp, ftype=TOPICS_64, index=1, rmse=0.10730, rho=0.25253, mse=0.01151, mae=0.08091
2016-01-10 07:07:56,351 : INFO : site=yelp, ftype=TOPICS_64, index=2, rmse=0.10875, rho=0.25311, mse=0.01183, mae=0.08089
2016-01-10 07:08:42,860 : INFO : site=yelp, ftype=TOPICS_64, index=3, rmse=0.10764, rho=0.27599, mse=0.01159, mae=0.08067
2016-01-10 07:09:29,622 : INFO : site=yelp, ftype=TOPICS_64, index=4, rmse=0.10511, rho=0.24517, mse=0.01105, mae=0.07895
2016-01-10 07:10:16,201 : INFO : site=yelp, ftype=TOPICS_64, index=5, rmse=0.10792, rho=0.25347, mse=0.01165, mae=0.08083
2016-01-10 07:11:02,654 : INFO : site=yelp, ftype=TOPICS_64, index=6, rmse=0.10666, rho=0.26429, mse=0.01138, mae=0.08002
2016-01-10 07:11:49,488 : INFO : site=yelp, ftype=TOPICS_64, index=7, rmse=0.10571, rho=0.27498, mse=0.01118, mae=0.07938
2016-01-10 07:12:36,013 : INFO : site=yelp, ftype=TOPICS_64, index=8, rmse=0.10556, rho=0.27040, mse=0.01114, mae=0.07897
2016-01-10 07:13:22,724 : INFO : site=yelp, ftype=TOPICS_64, index=9, rmse=0.10676, rho=0.27895, mse=0.01140, mae=0.08017
2016-01-10 07:14:09,561 : INFO : site=yelp, ftype=TOPICS_64, index=10, rmse=0.10598, rho=0.25196, mse=0.01123, mae=0.07976
2016-01-10 07:14:56,177 : INFO : site=yelp, ftype=TOPICS_64, index=11, rmse=0.10627, rho=0.27650, mse=0.01129, mae=0.07962
